filename,date,locn,drop,lat,long
33RR20180918_00001_00002_ct1.csv,20180918,1,2,56.05826,-156.96216
33RR20180918_00002_00003_ct1.csv,20180918,2,3,55.59576,-156.34688
33RR20180918_00003_00002_ct1.csv,20180918,3,2,55.08028,-155.7202
33RR20180918_00004_00002_ct1.csv,20180918,4,2,54.66,-155.17082
33RR20180918_00005_00002_ct1.csv,20180918,5,2,53.677,-153.79656
33RR20180918_00006_00002_ct1.csv,20180918,6,2,52.00016,-152.0002
33RR20180918_00007_00002_ct1.csv,20180918,7,2,49.50016,-151.99968
33RR20180918_00008_00002_ct1.csv,20180918,8,2,47.00008,-151.99962
33RR20180918_00009_00002_ct1.csv,20180918,9,2,44.50036,-151.99982
33RR20180918_00010_00002_ct1.csv,20180918,10,2,42.00022,-152.00008
33RR20180918_00011_00002_ct1.csv,20180918,11,2,39.50026,-152.0002
33RR20180918_00012_00002_ct1.csv,20180918,12,2,37.00024,-152.0002
33RR20180918_00013_00002_ct1.csv,20180918,13,2,34.49918,-152.00158
33RR20180918_00014_00002_ct1.csv,20180918,14,2,32.00024,-151.99988
33RR20180918_00015_00002_ct1.csv,20180918,15,2,29.49984,-151.99976
33RR20180918_00016_00002_ct1.csv,20180918,16,2,26.99968,-151.99996
33RR20180918_00017_00002_ct1.csv,20180918,17,2,24.49988,-152.00034
33RR20180918_00018_00002_ct1.csv,20180918,18,2,22.00032,-152.00042
33RR20180918_00019_00002_ct1.csv,20180918,19,2,17.5,-152.00028
33RR20180918_00020_00002_ct1.csv,20180918,20,2,14.25156,-152.00026
33RR20180918_00021_00002_ct1.csv,20180918,21,2,11,-152.00044
33RR20180918_00022_00002_ct1.csv,20180918,22,2,9.2489,-151.99924
33RR20180918_00023_00002_ct1.csv,20180918,23,2,7.50038,-151.99756
33RR20180918_00025_00002_ct1.csv,20180918,25,2,5.00024,-151.99918
33RR20180918_00027_00002_ct1.csv,20180918,27,2,2.50224,-152.00564
33RR20180918_00029_00002_ct1.csv,20180918,29,2,0.00116,-151.99906
33RR20180918_00031_00002_ct1.csv,20180918,31,2,-2.50008,-152.00024
33RR20180918_00033_00002_ct1.csv,20180918,33,2,-5.00048,-152.00058
33RR20180918_00034_00002_ct1.csv,20180918,34,2,-7.5001,-152.00022
33RR20180918_00035_00002_ct1.csv,20180918,35,2,-10.50022,-152.0002
33RR20180918_00036_00002_ct1.csv,20180918,36,2,-12.75036,-151.99998
33RR20180918_00037_00002_ct1.csv,20180918,37,2,-15.00014,-152.00014
33RR20180918_00038_00002_ct1.csv,20180918,38,2,-17.49988,-152.00044
33RR20180918_00039_00002_ct1.csv,20180918,39,2,-19.99968,-152.00014
33RR20180918_00183_00002_ct1.csv,20180918,183,2,19.6808,-154.51318
33RR20180918_00186_00002_ct1.csv,20180918,186,2,18.9065,-155.25804
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
